idno,day,clockst,start,end,time,ep,day_obs,select
1,Monday,1.3,1290,1310,20,NA,1,remove
1,Monday,1.5,1310,1320,10,NA,1,remove
1,Monday,2,1320,1440,120,NA,1,remove
1,Monday,4,0,385,385,1,1,keep
1,Monday,10.25,385,405,20,2,1,keep
1,Monday,10.45,405,450,45,3,1,keep
1,Monday,11.3,450,485,35,4,1,keep
1,Monday,12.05,485,495,10,5,1,keep
1,Monday,12.15,495,515,20,6,1,keep
1,Monday,12.35,515,600,85,7,1,keep
1,Monday,14,600,615,15,8,1,keep
1,Monday,14.15,615,640,25,9,1,keep
1,Monday,14.4,640,705,65,10,1,keep
1,Monday,15.45,705,710,5,11,1,keep
1,Monday,15.5,710,725,15,12,1,keep
1,Monday,16.05,725,730,5,13,1,keep
1,Monday,16.1,730,750,20,14,1,keep
1,Monday,16.3,750,770,20,15,1,keep
1,Monday,16.5,770,820,50,16,1,keep
1,Monday,17.4,820,835,15,17,1,keep
1,Monday,17.55,835,865,30,18,1,keep
1,Monday,18.25,865,900,35,19,1,keep
1,Monday,19,900,920,20,20,1,keep
1,Monday,19.2,920,935,15,21,1,keep
1,Monday,19.35,935,960,25,22,1,keep
1,Monday,20,960,985,25,23,1,keep
1,Monday,20.25,985,990,5,24,1,keep
1,Monday,20.3,990,1015,25,25,1,keep
1,Monday,20.55,1015,1030,15,26,1,keep
1,Monday,21.1,1030,1055,25,27,1,keep
1,Monday,21.35,1055,1110,55,28,1,keep
1,Monday,22.3,1110,1155,45,29,1,keep
1,Monday,23.15,1155,1170,15,30,1,keep
1,Monday,23.3,1170,1290,120,31,1,keep
1,Tuesday,0.15,1215,1310,95,32,1,keep
1,Tuesday,1.5,1310,1320,10,33,1,keep
1,Tuesday,2,1320,1440,120,34,1,keep
1,Tuesday,4,0,385,385,1,2,keep
1,Tuesday,10.25,385,405,20,2,2,keep
1,Tuesday,10.45,405,450,45,3,2,keep
1,Tuesday,11.3,450,480,30,4,2,keep
1,Tuesday,12,480,490,10,5,2,keep
1,Tuesday,12.1,490,510,20,6,2,keep
1,Tuesday,12.3,510,530,20,7,2,keep
1,Tuesday,12.5,530,545,15,8,2,keep
1,Tuesday,13.05,545,595,50,9,2,keep
1,Tuesday,13.55,595,630,35,10,2,keep
1,Tuesday,14.3,630,650,20,11,2,keep
1,Tuesday,14.5,650,710,60,12,2,keep
1,Tuesday,15.5,710,720,10,13,2,keep
1,Tuesday,16,720,730,10,14,2,keep
1,Tuesday,16.1,730,820,90,15,2,keep
1,Tuesday,17.4,820,835,15,16,2,keep
1,Tuesday,17.55,835,865,30,17,2,keep
1,Tuesday,18.25,865,870,5,18,2,keep
1,Tuesday,18.3,870,960,90,19,2,keep
1,Tuesday,20,960,975,15,20,2,keep
1,Tuesday,20.15,975,980,5,21,2,keep
1,Tuesday,20.2,980,1015,35,22,2,keep
1,Tuesday,20.55,1015,1030,15,23,2,keep
1,Tuesday,21.1,1030,1050,20,24,2,keep
1,Tuesday,21.3,1050,1065,15,25,2,keep
1,Tuesday,21.45,1065,1080,15,26,2,keep
1,Tuesday,22,1080,1155,75,27,2,keep
1,Tuesday,23.15,1155,1215,60,28,2,keep
2,Monday,0.1,1210,1260,50,NA,1,remove
2,Monday,1,1260,1270,10,NA,1,remove
2,Monday,1.1,1270,1440,170,NA,1,remove
2,Monday,4,0,485,485,1,1,keep
2,Monday,12.05,485,505,20,2,1,keep
2,Monday,12.25,505,540,35,3,1,keep
2,Monday,13,540,560,20,4,1,keep
2,Monday,13.2,560,630,70,5,1,keep
2,Monday,14.3,630,695,65,6,1,keep
2,Monday,15.35,695,720,25,7,1,keep
2,Monday,16,720,750,30,8,1,keep
2,Monday,16.3,750,780,30,9,1,keep
2,Monday,17,780,870,90,10,1,keep
2,Monday,18.3,870,930,60,11,1,keep
2,Monday,19.3,930,960,30,12,1,keep
2,Monday,20,960,1080,120,13,1,keep
2,Monday,22,1080,1150,70,14,1,keep
2,Monday,23.1,1150,1170,20,15,1,keep
2,Monday,23.3,1170,1210,40,16,1,keep
2,Tuesday,1,1260,1275,15,17,1,keep
2,Tuesday,1.15,1275,1440,165,18,1,keep
2,Tuesday,4,0,425,425,1,2,keep
2,Tuesday,11.05,425,450,25,2,2,keep
2,Tuesday,11.3,450,460,10,3,2,keep
2,Tuesday,11.4,460,480,20,4,2,keep
2,Tuesday,12,480,495,15,5,2,keep
2,Tuesday,12.15,495,540,45,6,2,keep
2,Tuesday,13,540,600,60,7,2,keep
2,Tuesday,14,600,630,30,8,2,keep
2,Tuesday,14.3,630,680,50,9,2,keep
2,Tuesday,15.2,680,780,100,10,2,keep
2,Tuesday,17,780,810,30,11,2,keep
2,Tuesday,17.3,810,870,60,12,2,keep
2,Tuesday,18.3,870,930,60,13,2,keep
2,Tuesday,19.3,930,1040,110,14,2,keep
2,Tuesday,21.2,1040,1055,15,15,2,keep
2,Tuesday,21.35,1055,1070,15,16,2,keep
2,Tuesday,21.5,1070,1080,10,17,2,keep
2,Tuesday,22,1080,1090,10,18,2,keep
2,Tuesday,22.1,1090,1135,45,19,2,keep
2,Tuesday,22.55,1135,1145,10,20,2,keep
2,Tuesday,23.05,1145,1170,25,21,2,keep
2,Tuesday,23.3,1170,1260,90,22,2,keep
